Rk,Player,Season,Age,Tm,Lg,WS,VORP,BPM,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
470,Dennis Johnson\johnsde01,1980-81,26,PHO,NBA,8.4,2.6,2.0,79,,33.1,6.7,15.4,6.6,14.8,0.1,0.6,5.2,6.3,2.0,2.6,4.6,3.7,1.7,0.8,2.6,3.1,18.8,.436,.446,.216,.441,.820,.516
471,Joe Johnson\johnsjo02,2009-10,28,ATL,NBA,8.4,3.0,2.2,76,76,38.0,8.4,18.2,6.7,13.6,1.7,4.6,2.9,3.5,1.0,3.7,4.6,4.9,1.1,0.1,1.9,1.9,21.3,.458,.488,.369,.505,.818,.538
472,Tracy McGrady\mcgratr01,2003-04,24,ORL,NBA,8.4,5.3,5.8,67,67,39.9,9.7,23.4,7.1,15.7,2.6,7.7,5.9,7.5,1.4,4.6,6.0,5.5,1.4,0.6,2.7,1.9,28.0,.417,.455,.339,.473,.796,.526
473,Dražen Petrović\petrodr01,1992-93,28,NJN,NBA,8.4,2.7,2.0,70,67,38.0,8.4,16.2,7.3,13.8,1.1,2.4,4.5,5.2,0.6,2.1,2.7,3.5,1.3,0.2,2.9,3.4,22.3,.518,.529,.449,.551,.870,.605
474,Dominique Wilkins\wilkido01,1993-94,34,TOT,NBA,8.4,1.9,0.9,74,74,35.6,9.4,21.5,8.3,17.5,1.1,4.0,6.0,7.1,2.5,4.0,6.5,2.3,1.2,0.4,2.3,1.7,26.0,.440,.474,.288,.466,.847,.529
475,Vin Baker\bakervi01,1996-97,25,MIL,NBA,8.3,3.7,2.6,78,78,40.5,8.1,16.0,7.9,15.3,0.2,0.7,4.6,6.7,3.4,6.9,10.3,2.7,1.0,1.4,3.1,3.5,21.0,.505,.515,.278,.511,.687,.553
476,Tim Duncan\duncati01,2012-13,36,SAS,NBA,8.3,3.2,4.1,69,69,30.1,7.1,14.1,7.1,14.0,0.0,0.1,3.6,4.3,1.8,8.1,9.9,2.7,0.7,2.7,2.1,1.7,17.8,.502,.504,.286,.503,.817,.554
477,Yao Ming\mingya01,2007-08,27,HOU,NBA,8.3,2.6,2.9,55,55,37.2,7.9,15.5,7.9,15.5,0.0,0.0,6.3,7.4,3.1,7.7,10.8,2.3,0.5,2.0,3.3,3.1,22.0,.507,.508,.000,.507,.850,.587
478,Otis Birdsong\birdsot01,1980-81,25,KCK,NBA,8.2,2.8,2.4,71,,36.5,10.0,18.4,9.9,17.9,0.1,0.5,4.5,6.4,1.7,2.0,3.6,3.3,1.3,0.3,2.4,2.4,24.6,.544,.551,.286,.547,.697,.580
479,Draymond Green\greendr01,2016-17,26,GSW,NBA,8.2,4.6,5.4,76,76,32.5,3.6,8.6,2.5,5.1,1.1,3.5,2.0,2.8,1.3,6.6,7.9,7.0,2.0,1.4,2.4,2.9,10.2,.418,.494,.308,.481,.709,.522
480,Victor Oladipo\oladivi01,2017-18,25,IND,NBA,8.2,4.5,4.9,75,75,34.0,8.5,17.9,6.4,12.1,2.1,5.8,3.9,4.9,0.6,4.6,5.2,4.3,2.4,0.8,2.9,2.3,23.1,.477,.528,.371,.537,.799,.577
481,Kobe Bryant\bryanko01,2004-05,26,LAL,NBA,8.1,4.5,4.6,66,66,40.7,8.7,20.1,6.7,14.2,2.0,5.9,8.2,10.1,1.4,4.5,5.9,6.0,1.3,0.8,4.1,2.6,27.6,.433,.472,.339,.482,.816,.563
