Rk,Player,Season,Age,Tm,Lg,WS,VORP,BPM,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,James Harden\hardeja01,2018-19,29,HOU,NBA,15.2,9.9,11.7,78,78,36.8,10.8,24.5,6.0,11.3,4.8,13.2,9.7,11.0,0.8,5.8,6.6,7.5,2.0,0.7,5.0,3.1,36.1,.442,.528,.368,.541,.879,.616
2,Giannis Antetokounmpo\antetgi01,2018-19,24,MIL,NBA,14.4,7.6,10.8,72,72,32.8,10.0,17.3,9.3,14.5,0.7,2.8,6.9,9.5,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,.578,.641,.256,.599,.729,.644
3,Rudy Gobert\goberru01,2018-19,26,UTA,NBA,14.4,5.9,7.0,81,80,31.8,5.9,8.8,5.9,8.8,0.0,0.0,4.1,6.4,3.8,9.0,12.9,2.0,0.8,2.3,1.6,2.9,15.9,.669,.669,,.669,.636,.682
4,Damian Lillard\lillada01,2018-19,28,POR,NBA,12.1,5.4,5.5,80,80,35.5,8.5,19.2,5.6,11.1,3.0,8.0,5.9,6.4,0.9,3.8,4.6,6.9,1.1,0.4,2.7,1.9,25.8,.444,.499,.369,.522,.912,.588
5,Paul George\georgpa01,2018-19,28,OKC,NBA,11.9,5.3,5.5,77,77,36.9,9.2,21.0,5.4,11.1,3.8,9.8,5.9,7.0,1.4,6.8,8.2,4.1,2.2,0.4,2.7,2.8,28.0,.438,.484,.386,.529,.839,.583
6,Nikola Jokić\jokicni01,2018-19,23,DEN,NBA,11.8,7.3,9.5,80,80,31.3,7.7,15.1,6.7,11.7,1.0,3.4,3.6,4.4,2.9,8.0,10.8,7.3,1.4,0.7,3.1,2.9,20.1,.511,.569,.307,.545,.821,.589
7,Kevin Durant\duranke01,2018-19,30,GSW,NBA,11.5,4.3,4.3,78,78,34.6,9.2,17.7,7.5,12.8,1.8,5.0,5.7,6.5,0.4,5.9,6.4,5.9,0.7,1.1,2.9,2.0,26.0,.521,.587,.353,.571,.885,.631
8,Stephen Curry\curryst01,2018-19,30,GSW,NBA,9.7,4.9,6.3,69,69,33.8,9.2,19.4,4.0,7.7,5.1,11.7,3.8,4.2,0.7,4.7,5.3,5.2,1.3,0.4,2.8,2.4,27.3,.472,.525,.437,.604,.916,.641
9,Kawhi Leonard\leonaka01,2018-19,27,TOR,NBA,9.5,3.6,5.0,60,60,34.0,9.3,18.8,7.5,13.8,1.9,5.0,6.1,7.1,1.3,6.0,7.3,3.3,1.8,0.4,2.0,1.5,26.6,.496,.542,.371,.546,.854,.606
10,Kyrie Irving\irvinky01,2018-19,26,BOS,NBA,9.1,4.7,6.4,67,67,33.0,9.0,18.5,6.4,12.0,2.6,6.5,3.2,3.7,1.1,3.9,5.0,6.9,1.5,0.5,2.6,2.5,23.8,.487,.533,.401,.557,.873,.592
11,Joel Embiid\embiijo01,2018-19,24,PHI,NBA,8.7,3.3,4.1,64,64,33.7,9.1,18.7,7.8,14.6,1.2,4.1,8.2,10.1,2.5,11.1,13.6,3.7,0.7,1.9,3.5,3.3,27.5,.484,.535,.300,.517,.804,.593
12,Blake Griffin\griffbl01,2018-19,29,DET,NBA,8.0,4.4,4.6,75,75,35.0,8.3,17.9,5.7,10.9,2.5,7.0,5.5,7.3,1.3,6.2,7.5,5.4,0.7,0.4,3.4,2.7,24.5,.462,.525,.362,.532,.753,.581
13,Kemba Walker\walkeke02,2018-19,28,CHO,NBA,7.4,3.9,3.3,82,82,34.9,8.9,20.5,5.7,11.6,3.2,8.9,4.6,5.5,0.6,3.8,4.4,5.9,1.2,0.4,2.6,1.6,25.6,.434,.494,.356,.511,.844,.558
14,LeBron James\jamesle01,2018-19,34,LAL,NBA,7.2,4.9,8.1,55,55,35.2,10.1,19.9,8.1,14.0,2.0,5.9,5.1,7.6,1.0,7.4,8.5,8.3,1.3,0.6,3.6,1.7,27.4,.510,.582,.339,.560,.665,.588
15,Russell Westbrook\westbru01,2018-19,30,OKC,NBA,6.8,5.6,6.5,73,73,36.0,8.6,20.2,7.0,14.5,1.6,5.6,4.1,6.2,1.5,9.6,11.1,10.7,1.9,0.5,4.5,3.4,22.9,.428,.481,.290,.468,.656,.501
