Rk,Player,Season,Age,Tm,Lg,WS,VORP,BPM,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Michael Jordan\jordami01,1996-97,33,CHI,NBA,18.3,6.8,6.7,82,82,37.9,11.2,23.1,9.9,19.5,1.4,3.6,5.9,7.0,1.4,4.5,5.9,4.3,1.7,0.5,2.0,1.9,29.6,.486,.507,.374,.516,.833,.567
2,Karl Malone\malonka01,1996-97,33,UTA,NBA,16.7,7.9,8.5,82,82,36.6,10.5,19.2,10.5,19.0,0.0,0.2,6.4,8.4,2.4,7.5,9.9,4.5,1.4,0.6,2.8,2.6,27.4,.550,.555,.000,.550,.755,.600
3,Grant Hill\hillgr01,1996-97,24,DET,NBA,14.6,7.9,8.0,80,80,39.3,7.8,15.7,7.7,15.3,0.1,0.4,5.6,7.9,1.5,7.5,9.0,7.3,1.8,0.6,3.2,2.3,21.4,.496,.502,.303,.500,.711,.556
4,John Stockton\stockjo01,1996-97,34,UTA,NBA,13.6,4.3,3.9,82,82,35.3,5.1,9.3,4.1,7.1,0.9,2.2,3.4,4.0,0.5,2.2,2.8,10.5,2.0,0.2,3.0,2.4,14.4,.548,.587,.422,.598,.846,.656
5,Scottie Pippen\pippesc01,1996-97,31,CHI,NBA,13.1,6.7,6.6,82,82,37.7,7.9,16.7,6.0,11.5,1.9,5.2,2.5,3.5,2.0,4.5,6.5,5.7,1.9,0.5,2.6,2.6,20.2,.474,.522,.368,.531,.701,.554
6,Tim Hardaway\hardati01,1996-97,30,MIA,NBA,12.9,5.6,5.1,81,81,38.7,7.1,17.1,4.6,9.8,2.5,7.3,3.6,4.5,0.6,2.8,3.4,8.6,1.9,0.1,2.8,2.0,20.3,.415,.469,.344,.489,.799,.532
7,Gary Payton\paytoga01,1996-97,28,SEA,NBA,12.9,6.2,5.6,82,82,39.2,8.6,18.1,7.2,13.4,1.5,4.6,3.1,4.3,1.3,3.3,4.6,7.1,2.4,0.2,2.6,2.5,21.8,.476,.533,.313,.517,.715,.545
8,Mookie Blaylock\blaylmo01,1996-97,29,ATL,NBA,12.5,7.1,7.2,78,78,39.2,6.4,14.9,3.6,7.1,2.8,7.7,1.7,2.2,1.5,3.8,5.3,5.9,2.7,0.3,2.4,1.8,17.4,.432,.505,.366,.528,.753,.548
9,Kenny Anderson\anderke01,1996-97,26,POR,NBA,12.4,5.5,5.0,82,81,37.6,5.9,13.9,4.3,9.4,1.6,4.5,4.1,5.3,1.1,3.3,4.4,7.1,2.0,0.2,2.4,2.7,17.5,.427,.458,.361,.485,.768,.540
10,Reggie Miller\millere01,1996-97,31,IND,NBA,12.3,5.2,5.0,81,81,36.6,6.8,15.4,4.0,8.7,2.8,6.6,5.2,5.9,0.7,2.9,3.5,3.4,0.9,0.3,2.0,2.1,21.6,.444,.456,.427,.536,.880,.603
11,Kevin Johnson\johnske02,1996-97,30,PHO,NBA,11.7,4.2,4.2,70,70,38.0,6.3,12.7,5.0,9.8,1.3,2.9,6.3,7.4,0.8,2.8,3.6,9.3,1.5,0.2,3.1,2.0,20.1,.496,.512,.441,.546,.852,.631
12,Christian Laettner\laettch01,1996-97,27,ATL,NBA,11.6,3.8,2.8,82,82,38.3,6.7,13.8,6.3,12.7,0.4,1.1,4.4,5.4,2.6,6.2,8.8,2.7,1.2,0.8,2.7,3.4,18.1,.486,.497,.352,.500,.816,.562
13,Anthony Mason\masonan01,1996-97,30,CHH,NBA,11.4,5.2,4.5,73,73,43.1,5.9,11.3,5.9,11.3,0.0,0.0,4.4,5.9,2.5,8.8,11.4,5.7,1.0,0.5,2.3,2.8,16.2,.525,.526,.333,.525,.745,.585
14,Dikembe Mutombo\mutomdi01,1996-97,30,ATL,NBA,11.3,3.9,3.2,80,80,37.2,4.8,9.0,4.8,9.0,0.0,0.0,3.8,5.4,3.4,8.3,11.6,1.4,0.6,3.3,2.3,3.1,13.3,.527,.527,,.527,.705,.584
15,Hersey Hawkins\hawkihe01,1996-97,30,SEA,NBA,10.9,4.5,4.5,82,82,33.6,4.5,9.7,2.8,5.4,1.7,4.3,3.1,3.6,1.1,2.8,3.9,3.0,1.9,0.1,1.6,1.8,13.9,.464,.514,.403,.554,.875,.616
16,Terrell Brandon\brandte01,1996-97,26,CLE,NBA,10.8,4.8,4.6,78,78,36.8,7.4,16.8,6.1,13.4,1.3,3.5,3.4,3.8,0.6,3.2,3.9,6.3,1.8,0.4,2.3,2.3,19.5,.438,.455,.373,.476,.902,.526
17,Glen Rice\ricegl01,1996-97,29,CHH,NBA,10.8,2.7,1.2,79,78,42.6,9.1,19.2,6.5,13.6,2.6,5.6,5.9,6.8,0.8,3.2,4.0,2.0,0.9,0.3,2.2,2.4,26.8,.477,.480,.470,.546,.867,.605
18,Mitch Richmond\richmmi01,1996-97,31,SAC,NBA,10.8,4.2,3.3,81,81,38.6,8.9,19.5,6.3,13.6,2.5,5.9,5.6,6.6,0.7,3.2,3.9,4.2,1.5,0.3,2.9,2.6,25.9,.454,.466,.428,.519,.861,.578
19,Jeff Hornacek\hornaje01,1996-97,33,UTA,NBA,10.2,4.0,4.0,82,82,31.6,5.0,10.4,4.2,8.1,0.9,2.4,3.6,4.0,0.7,2.2,2.9,4.4,1.5,0.3,1.6,2.3,14.5,.482,.516,.369,.525,.899,.596
20,Shawn Kemp\kempsh01,1996-97,27,SEA,NBA,10.0,2.8,2.0,81,75,34.0,6.5,12.7,6.3,12.3,0.1,0.4,5.6,7.5,3.4,6.6,10.0,1.9,1.5,1.0,3.5,4.0,18.7,.510,.515,.364,.516,.742,.583
21,Tyrone Hill\hillty01,1996-97,28,CLE,NBA,9.9,2.4,1.7,74,70,34.9,4.8,8.0,4.8,8.0,0.0,0.0,3.3,5.1,3.5,6.4,9.9,1.2,0.9,0.4,2.0,3.6,12.9,.600,.601,.000,.600,.633,.626
22,Patrick Ewing\ewingpa01,1996-97,34,NYK,NBA,9.8,2.7,1.7,78,78,37.0,8.4,17.2,8.4,17.1,0.0,0.1,5.6,7.5,2.2,8.4,10.7,2.0,0.9,2.4,3.4,3.2,22.4,.488,.490,.222,.489,.754,.548
23,Eddie Jones\jonesed02,1996-97,25,LAL,NBA,9.6,4.5,4.0,80,80,37.5,5.9,13.5,4.0,8.7,1.9,4.9,3.5,4.2,1.1,3.0,4.1,3.4,2.4,0.6,2.1,2.8,17.2,.438,.464,.391,.508,.819,.559
24,Charles Barkley\barklch01,1996-97,33,HOU,NBA,9.4,4.6,7.1,53,53,37.9,6.3,13.1,5.2,9.2,1.1,3.9,5.4,7.8,4.0,9.5,13.5,4.7,1.3,0.5,2.8,2.9,19.2,.484,.569,.283,.526,.694,.581
25,Chris Webber\webbech01,1996-97,23,WSB,NBA,9.3,6.1,6.6,72,72,39.0,8.4,16.2,7.6,14.1,0.8,2.1,2.5,4.3,3.3,7.0,10.3,4.6,1.7,1.9,3.2,3.6,20.1,.518,.535,.397,.543,.565,.554
26,Hakeem Olajuwon\olajuha01,1996-97,34,HOU,NBA,9.1,3.7,3.2,78,78,36.6,9.3,18.3,9.3,18.1,0.1,0.2,4.5,5.7,2.2,7.0,9.2,3.0,1.5,2.2,3.6,3.2,23.2,.510,.512,.313,.512,.787,.558
27,Steve Smith\smithst01,1996-97,27,ATL,NBA,9.1,2.3,1.3,72,72,39.1,6.8,15.9,5.0,10.5,1.8,5.4,4.6,5.5,1.3,2.1,3.3,4.2,0.9,0.3,2.4,2.4,20.1,.429,.477,.335,.486,.847,.548
28,Mario Elie\eliema01,1996-97,33,HOU,NBA,8.9,3.1,2.5,78,77,34.4,3.7,7.5,2.2,3.8,1.5,3.7,2.7,3.0,0.8,2.2,3.0,4.0,1.2,0.2,1.7,2.6,11.7,.497,.572,.420,.600,.896,.662
29,Chris Mills\millsch01,1996-97,27,CLE,NBA,8.9,3.0,1.8,80,79,39.6,5.1,11.2,4.0,8.4,1.1,2.8,2.2,2.6,1.5,4.7,6.2,2.5,1.1,0.5,1.5,2.8,13.4,.453,.473,.391,.501,.842,.544
