Rk,Player,Season,Age,Tm,Lg,WS,VORP,BPM,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,James Harden\hardeja01,2019-20,30,HOU,NBA,4.4,2.3,11.1,19,19,36.8,10.7,24.1,5.8,10.1,4.9,13.9,12.5,14.4,0.9,5.1,5.9,7.8,1.7,0.5,5.3,3.1,38.9,.446,.573,.355,.549,.865,.640
2,Luka Dončić\doncilu01,2019-20,20,DAL,NBA,4.0,2.5,14.3,18,18,34.2,9.8,20.2,6.8,10.8,3.1,9.4,8.1,9.8,1.5,8.4,9.9,9.6,1.4,0.2,4.5,2.7,30.8,.486,.626,.325,.562,.824,.627
3,Giannis Antetokounmpo\antetgi01,2019-20,25,MIL,NBA,3.9,2.3,12.3,20,20,32.4,11.5,20.6,10.1,15.7,1.4,4.9,6.5,11.1,2.7,10.7,13.4,5.9,1.5,1.4,4.1,3.3,30.9,.560,.645,.286,.594,.586,.607
4,LeBron James\jamesle01,2019-20,35,LAL,NBA,3.5,1.9,9.5,19,19,34.8,9.8,19.7,7.7,13.9,2.1,5.8,3.9,5.8,1.0,6.1,7.1,11.0,1.3,0.6,3.7,1.5,25.7,.499,.557,.360,.552,.673,.576
5,Anthony Davis\davisan02,2019-20,26,LAL,NBA,3.4,1.4,7.1,18,18,34.5,9.0,18.8,7.8,15.3,1.2,3.4,6.9,7.9,2.6,6.6,9.2,3.5,1.5,2.8,2.5,2.4,26.1,.479,.511,.339,.510,.867,.585
6,Damian Lillard\lillada01,2019-20,29,POR,NBA,3.1,1.3,5.8,18,18,37.0,8.5,19.0,5.2,10.0,3.3,9.0,7.1,7.7,0.6,4.2,4.8,7.3,1.1,0.5,2.8,2.1,27.3,.447,.522,.364,.534,.920,.611
7,Karl-Anthony Towns\townska01,2019-20,24,MIN,NBA,2.8,1.6,9.8,16,16,32.9,8.9,17.3,4.9,8.4,3.9,8.9,4.6,5.8,2.6,10.0,12.6,4.1,1.1,1.5,3.4,3.4,26.3,.513,.585,.444,.626,.793,.661
8,Montrezl Harrell\harremo01,2019-20,26,LAC,NBA,2.6,1.0,4.6,20,2,29.9,7.8,13.2,7.8,12.9,0.0,0.3,3.1,4.6,3.0,4.7,7.6,2.3,0.9,1.3,1.9,2.3,18.6,.589,.603,.000,.589,.663,.611
9,Bam Adebayo\adebaba01,2019-20,22,MIA,NBA,2.5,1.1,5.7,18,18,31.9,5.0,8.5,4.9,8.2,0.1,0.3,3.7,5.7,2.2,8.1,10.3,4.4,1.6,1.2,2.7,2.5,13.8,.588,.605,.167,.592,.650,.625
10,Jimmy Butler\butleji01,2019-20,30,MIA,NBA,2.5,1.0,6.2,14,14,33.3,5.4,12.6,4.7,9.9,0.6,2.6,7.4,8.5,1.9,3.5,5.4,6.6,2.6,0.8,2.4,1.3,18.7,.426,.475,.243,.452,.866,.574
11,Rudy Gobert\goberru01,2019-20,27,UTA,NBA,2.5,0.8,3.5,17,17,34.6,4.9,7.6,4.9,7.6,0.0,0.0,3.6,5.6,3.2,10.7,13.9,1.1,0.9,2.1,2.2,3.3,13.4,.643,.643,,.643,.642,.665
12,Jarrett Allen\allenja01,2019-20,21,BRK,NBA,2.3,0.6,2.5,19,16,26.6,4.7,6.9,4.7,6.9,0.0,0.1,2.6,4.5,3.4,6.9,10.4,1.1,0.7,1.3,1.2,2.5,11.9,.674,.679,.000,.674,.570,.668
13,Domantas Sabonis\sabondo01,2019-20,23,IND,NBA,2.2,0.7,3.1,17,17,34.4,7.2,14.0,6.9,12.8,0.3,1.2,3.8,4.8,3.7,9.3,13.0,3.6,0.7,0.5,2.7,3.5,18.5,.513,.537,.250,.523,.802,.574
14,Fred VanVleet\vanvlfr01,2019-20,25,TOR,NBA,2.2,0.7,2.2,18,18,37.8,6.0,14.9,3.4,8.1,2.6,6.8,3.9,4.4,0.2,3.7,3.9,7.3,2.0,0.1,2.7,2.2,18.5,.403,.421,.382,.491,.875,.549
15,Joel Embiid\embiijo01,2019-20,25,PHI,NBA,2.1,0.7,3.4,16,16,30.1,7.4,16.1,6.2,12.3,1.2,3.9,6.9,8.4,2.7,9.6,12.3,2.8,0.9,1.4,2.9,3.4,22.8,.457,.505,.306,.494,.815,.575
16,Al Horford\horfoal01,2019-20,33,PHI,NBA,2.1,0.9,4.2,18,18,31.2,5.9,12.2,4.5,8.2,1.4,4.0,1.2,1.8,1.8,5.2,7.0,4.1,1.1,0.9,1.2,2.2,14.4,.482,.547,.347,.539,.667,.552
17,Paul Millsap\millspa01,2019-20,34,DEN,NBA,2.1,0.6,3.4,17,17,26.1,4.5,9.2,3.3,6.8,1.2,2.4,3.4,3.8,2.1,3.8,5.8,1.2,0.9,0.8,1.1,2.8,13.5,.484,.483,.488,.548,.877,.617
18,Donovan Mitchell\mitchdo01,2019-20,23,UTA,NBA,2.1,0.8,2.5,19,19,34.8,9.2,20.8,6.8,14.6,2.4,6.2,4.5,5.4,1.0,4.1,5.1,3.7,1.4,0.3,2.2,2.4,25.3,.443,.469,.381,.500,.835,.546
